Date,Open,High,Low,Close,Adj Close,Volume
2011-10-28,75.000000,75.160004,74.900002,75.089996,75.089996,0
2011-10-30,null,null,null,null,null,null
2011-10-31,75.089996,76.570000,74.980003,76.169998,76.169998,0
2011-11-01,76.550003,77.669998,74.980003,77.260002,77.260002,0
2011-11-02,77.540001,77.669998,76.449997,77.010002,77.010002,0
2011-11-03,77.230003,77.500000,76.570000,76.669998,76.669998,0
2011-11-04,76.709999,77.300003,76.620003,76.910004,76.910004,0
2011-11-06,null,null,null,null,null,null
2011-11-07,76.919998,77.379997,76.730003,76.959999,76.959999,0
2011-11-08,77.010002,77.180000,76.559998,76.669998,76.669998,0
2011-11-09,76.669998,78.000000,76.510002,77.930000,77.930000,0
2011-11-10,77.970001,78.169998,77.400002,77.639999,77.639999,0
2011-11-11,77.660004,78.160004,76.720001,76.940002,76.940002,0
2011-11-13,null,null,null,null,null,null
2011-11-14,76.760002,77.650002,76.639999,77.559998,77.559998,0
2011-11-15,77.480003,78.089996,77.430000,77.879997,77.879997,0
2011-11-16,78.059998,78.389999,77.830002,78.160004,78.160004,0
2011-11-17,78.360001,78.470001,77.930000,78.290001,78.290001,0
2011-11-18,78.309998,78.360001,77.540001,78.019997,78.019997,0
2011-11-20,null,null,null,null,null,null
2011-11-21,77.980003,78.510002,77.970001,78.300003,78.300003,0
2011-11-22,78.320000,78.440002,77.980003,78.230003,78.230003,0
2011-11-23,78.230003,79.180000,78.169998,79.000000,79.000000,0
2011-11-25,null,null,null,null,null,null
2011-11-27,null,null,null,null,null,null
2011-11-28,79.239998,79.400002,78.760002,79.290001,79.290001,0
2011-11-29,79.339996,79.400002,78.519997,79.000000,79.000000,0
2011-11-30,79.050003,79.379997,77.919998,78.389999,78.389999,0
2011-12-01,78.370003,79.370003,77.919998,78.320000,78.320000,0
2011-12-02,78.309998,78.769997,77.970001,78.629997,78.629997,0
2011-12-04,null,null,null,null,null,null
2011-12-05,78.570000,78.680000,78.190002,78.610001,78.610001,0
2011-12-06,78.589996,78.879997,78.449997,78.510002,78.510002,0
2011-12-07,78.519997,78.870003,78.279999,78.480003,78.480003,0
2011-12-08,78.459999,79.010002,78.099998,78.809998,78.809998,0
2011-12-09,78.790001,79.099998,78.099998,78.629997,78.629997,0
2011-12-11,null,null,null,null,null,null
2011-12-12,78.720001,79.639999,78.629997,79.570000,79.570000,0
2011-12-13,79.559998,80.389999,79.290001,80.250000,80.250000,0
2011-12-14,80.250000,80.730003,80.120003,80.529999,80.529999,0
2011-12-15,80.510002,80.620003,80.110001,80.239998,80.239998,0
2011-12-16,80.209999,80.610001,79.930000,80.250000,80.250000,0
2011-12-18,null,null,null,null,null,null
2011-12-19,80.190002,80.489998,80.110001,80.250000,80.250000,0
2011-12-20,80.309998,80.489998,79.589996,79.879997,79.879997,0
